05-05-2024 18:00:04.023,-,SERIAL,"COM14 - 9600/8/N/1/N"
05-05-2024 18:06:02.798,10973,RECV,BC3043304334
05-05-2024 18:06:02.861,10974,RECV,36393130303030464438360D
05-05-2024 18:06:03.114,10975,RECV,BC304330433436463230
05-05-2024 18:06:03.177,10976,RECV,303030464437380D
05-05-2024 18:06:03.425,10977,RECV,BC304330
05-05-2024 18:06:03.486,10978,RECV,433436433130303030464437430D
05-05-2024 18:06:03.739,10979,RECV,BC304330433436433230
05-05-2024 18:06:03.802,10980,RECV,303030464437420D
05-05-2024 18:06:04.049,10981,RECV,BC304330
05-05-2024 18:06:04.111,10982,RECV,4334363432453030323031464431320D
05-05-2024 18:06:04.420,10983,RECV,BC3043304334363434453030323031464431300D
05-05-2024 18:06:04.671,10984,RECV,BC304330433436
05-05-2024 18:06:04.732,10985,RECV,393130303030464438360D
05-05-2024 18:06:05.046,10986,RECV,BC304330433436463230303030464437380D
05-05-2024 18:06:05.296,10987,RECV,BC30433043
05-05-2024 18:06:05.360,10988,RECV,3436433130303030464437430D
05-05-2024 18:06:05.610,10989,RECV,BC304330433436433230303030464437
05-05-2024 18:06:05.668,10990,RECV,420D
05-05-2024 18:06:05.915,10991,RECV,BC304330433436343245
05-05-2024 18:06:05.977,10992,RECV,3030323031464431320D
05-05-2024 18:06:06.226,10993,RECV,BC304330
05-05-2024 18:06:06.288,10994,RECV,4334363434453030323031464431300D
05-05-2024 18:06:11.424,10995,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:11.599,10996,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:11.787,10997,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:11.947,10998,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:12.169,10999,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:18.040,11000,RECV,BC304430443436393130303030464438340D
05-05-2024 18:06:18.350,11001,RECV,BC304430443436463230303030464437360D
05-05-2024 18:06:18.665,11002,RECV,BC304430443436433130303030464437410D
05-05-2024 18:06:18.973,11003,RECV,BC304430443436433230303030464437390D
05-05-2024 18:06:19.282,11004,RECV,BC3044304434363432453030323031464431300D
05-05-2024 18:06:19.592,11005,RECV,BC3044304434363434453030323031464430450D
